Name	Abbr.	Status	Capital	Area(km²)	Population Census (C) 1990-10-21	Population Census (C)2000-10-22	Population Census (C) 2011-11-02	Population Estimate (E)2018-12-31
Adana	ADA	MProv	Adana	13,915	1,549,233	1,849,478	2,102,375	2,220,125
Adıyaman	ADI	Prov	Adıyaman	7,033	510,827	623,811	594,163	624,513
Afyonkarahisar	AFY	Prov	Afyonkarahisar	14,314	738,979	812,416	701,461	725,568
Ağrı	AGR	Prov	Ağrı	11,470	437,093	528,744	553,241	539,657
Aksaray	AKS	Prov	Aksaray	7,570	330,569	396,084	379,163	412,172
Amasya	AMA	Prov	Amasya	5,690	359,265	365,231	323,331	337,508
Ankara	ANK	MProv	Ankara	24,521	3,236,378	4,007,860	4,868,418	5,503,985
Antalya	ANT	MProv	Antalya	20,723	1,132,211	1,719,751	2,035,563	2,426,356
Ardahan	ARD	Prov	Ardahan	4,842	163,731	133,756	107,776	98,907
Artvin	ART	Prov	Artvin	7,367	212,833	191,934	166,177	174,010
Aydın	AYD	MProv	Aydın	7,851	824,816	950,757	999,131	1,097,746
Balıkesir	BAL	MProv	Balıkesir	14,299	974,274	1,076,347	1,155,216	1,226,575
Bartın	BAR	Prov	Bartın	2,080	205,834	184,178	187,129	198,999
Batman	BAT	Prov	Batman	4,659	344,121	456,734	520,883	599,103
Bayburt	BAY	Prov	Bayburt	3,739	107,330	97,358	76,859	82,274
Bilecik	BIL	Prov	Bilecik	4,302	175,797	194,326	203,157	223,448
Bingöl	BIN	Prov	Bingöl	8,253	249,074	253,739	261,276	281,205
Bitlis	BIT	Prov	Bitlis	7,021	330,115	388,678	336,226	349,396
Bolu	BOL	Prov	Bolu	8,320	262,919	270,654	276,976	311,810
Burdur	BUD	Prov	Burdur	6,840	254,899	256,803	250,984	269,926
Bursa	BUR	MProv	Bursa	10,422	1,596,161	2,125,140	2,640,128	2,994,521
Çanakkale	CAN	Prov	Çanakkale	9,933	432,263	464,975	489,298	540,662
Çankırı	CAK	Prov	Çankırı	7,490	249,344	270,355	175,716	216,362
Çorum	COR	Prov	Çorum	12,792	608,660	597,065	534,825	536,483
Denizli	DEN	MProv	Denizli	11,692	750,882	850,029	940,532	1,027,782
Diyarbakır	DIY	MProv	Diyarbakır	15,058	1,096,447	1,362,708	1,561,110	1,732,396
Düzce	DÜZ	Prov	Düzce	2,567	273,679	314,266	342,281	387,844
Edirne	EDI	Prov	Edirne	6,074	404,599	402,606	400,554	411,528
