İl kodu Province code		İl adı Province name	Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit		Oran Rate (%)	Değişim katsayısı Coefficient  of variation  (%)	Alt sınır Lower limit	Üst sınır Upper limit
1		Adana	49.9	0.5	49.4	50.4		13.2	1.7	12.7	13.6		43.3	0.7	42.8	43.9
2		Adıyaman	43.1	4.4	39.4	46.8		9.1	11.9	6.9	11.2		39.2	5.0	35.3	43.0
3		Afyonkarahisar	54.1	1.2	52.8	55.4		5.6	4.3	5.1	6.0		51.1	1.3	49.7	52.4
4		Ağrı	57.1	1.8	55.1	59.1		6.8	6.3	6.0	7.7		53.2	2.0	51.2	55.3
5		Amasya	50.7	0.5	50.2	51.3		6.6	2.0	6.4	6.9		47.4	0.6	46.8	47.9
6		Ankara	49.5	1.3	48.3	50.8		10.2	6.6	8.9	11.5		44.5	1.6	43.0	45.9
7		Antalya	57.5	0.6	56.8	58.2		7.9	2.3	7.6	8.3		52.9	0.7	52.2	53.6
8		Artvin	50.7	1.5	49.1	52.2		7.1	5.2	6.4	7.8		47.1	1.7	45.5	48.6
9		Aydın	55.2	0.9	54.2	56.1		6.9	3.0	6.5	7.3		51.4	1.0	50.4	52.3
10		Balıkesir	47.2	0.4	46.8	47.6		6.0	1.5	5.8	6.2		44.4	0.5	44.0	44.8
11		Bilecik	51.6	1.0	50.6	52.6		6.5	3.7	6.0	7.0		48.2	1.1	47.2	49.3
12		Bingöl	54.6	2.2	52.3	57.0		7.0	8.9	5.8	8.2		50.8	2.5	48.3	53.2
13		Bitlis	46.5	0.8	45.8	47.1		10.6	2.8	10.0	11.2		41.5	0.9	40.8	42.3
14		Bolu	55.3	0.4	54.9	55.8		9.6	1.3	9.4	9.9		50.0	0.4	49.6	50.4
15		Burdur	58.9	1.1	57.6	60.3		6.9	4.9	6.2	7.5		54.9	1.3	53.5	56.3
16		Bursa	51.4	0.7	50.7	52.1		6.6	2.7	6.3	7.0		48.0	0.8	47.3	48.8
17		Çanakkale	47.9	0.6	47.3	48.5		6.1	2.3	5.8	6.3		45.0	0.7	44.4	45.6
18		Çankırı	45.5	2.1	43.6	47.4		6.8	5.5	6.1	7.6		42.4	2.3	40.4	44.3
19		Çorum	52.0	0.7	51.3	52.6		5.9	2.6	5.6	6.2		48.9	0.7	48.2	49.6
20		Denizli	57.7	1.1	56.4	59.0		6.5	4.2	6.0	7.0		54.0	1.3	52.7	55.3
21		Diyarbakır	37.2	1.5	36.1	38.3		18.7	4.1	17.2	20.1		30.2	2.1	29.0	31.5
22		Edirne	54.3	1.1	53.2	55.5		7.8	3.2	7.3	8.3		50.1	1.2	48.9	51.3
23		Elazığ	53.1	0.6	52.5	53.7		7.8	1.8	7.6	8.1		48.9	0.7	48.3	49.6
24		Erzincan	51.1	1.3	49.8	52.4		6.7	5.0	6.0	7.3		47.7	1.4	46.4	49.1
25		Erzurum	50.0	0.8	49.2	50.7		6.6	3.0	6.2	7.0		46.7	0.9	45.9	47.5
26		Eskişehir	46.9	1.5	45.5	48.3		8.5	4.0	7.8	9.1		42.9	1.7	41.5	44.3
27		Gaziantep	46.8	1.6	45.4	48.3		6.9	6.5	6.0	7.8		43.6	1.8	42.1	45.1
28		Giresun	51.3	0.4	50.8	51.7		6.5	1.4	6.4	6.7		47.9	0.4	47.5	48.3
29		Gümüşhane	49.9	1.5	48.4	51.3		7.2	4.0	6.7	7.8		46.3	1.6	44.8	47.7
30		Hakkari	45.2	1.6	43.9	46.6		11.7	4.5	10.7	12.8		39.9	1.9	38.5	41.4
31		Hatay	45.9	0.5	45.4	46.4		12.2	1.6	11.8	12.6		40.3	0.7	39.8	40.8
32		Isparta	54.2	1.9	52.2	56.3		8.7	5.5	7.8	9.6		49.5	2.2	47.4	51.6
33		Mersin	50.7	0.5	50.2	51.2		12.4	1.8	12.0	12.9		44.4	0.7	43.8	45.0
34		İstanbul	52.2	0.0	52.2	52.2		11.2	0.3	11.2	11.3		46.4	0.0	46.4	46.4
35		İzmir	55.9	0.1	55.8	56.1		15.4	13.5	11.4	19.5		47.3	2.5	45.0	49.6
36		Kars	59.5	1.2	58.0	60.9		6.6	4.8	6.0	7.3		55.5	1.4	54.0	57.0
37		Kastamonu	47.2	0.8	46.4	47.9		6.2	2.7	5.9	6.6		44.2	0.9	43.5	45.0
38		Kayseri	51.0	0.9	50.1	51.9		9.9	3.0	9.3	10.5		46.0	1.0	45.0	46.9
