city,lat,lng,Area(km²),population,Labour,Unemployment,Employment
İstanbul,41.011046,28.957797999999997,"5,196",14804116.0,52.2,11.2,46.4
Ankara,39.911652000000004,32.840305,"24,521",3517182.0,49.5,10.2,44.5
İzmir,38.412726,27.138376,"12,012",2500603.0,55.9,15.4,47.3
Bursa,40.195593,29.060129999999997,"10,422",1412701.0,51.4,6.6,48.0
Adana,37.001667,35.328889000000004,"13,915",1248988.0,49.9,13.2,43.3
Gaziantep,37.059444,37.3825,"6,819",1065975.0,46.8,6.9,43.6
Konya,37.871354,32.484636,"38,873",875530.0,48.4,4.7,46.2
Antalya,36.908118,30.695565000000002,"20,723",758188.0,57.5,7.9,52.9
Trabzon,41.005,39.726944,"4,664",244083.0,50.3,7.4,46.6
Diyarbakır,37.913629,40.217213,"15,058",644763.0,37.2,18.7,30.2
Samsun,41.286667,36.33,"9,083",394050.0,50.5,6.6,47.2
Kayseri,38.732222,35.485278,"17,043",592840.0,51.0,9.9,46.0
Eskişehir,39.776666999999996,30.520556,"13,842",514869.0,46.9,8.5,42.9
Kocaeli,40.766944,29.916944,"3,612",1780000.0,54.8,10.1,49.2
Malatya,38.350183,38.316669,"11,776",441805.0,54.1,7.8,49.9
Şanlıurfa,37.16708,38.793919,"18,765",449549.0,38.7,16.3,32.4
Erzurum,39.908611,41.276944,"25,323",420691.0,50.0,6.6,46.7
Kahramanmaraş,37.584705,36.926404999999995,"14,346",376045.0,47.0,11.6,41.5
Denizli,37.774167,29.0875,"11,692",313238.0,57.7,6.5,54.0
Van,38.494565,43.383231,"19,299",371713.0,46.2,10.3,41.4
Hatay,36.206551,36.157225,"5,828",305564.0,45.9,12.2,40.3
Batman,37.887378000000005,41.132208,"4,659",381990.0,36.2,23.4,27.8
Sakarya,40.780556,30.403333,"4,838",990214.0,54.8,9.4,49.7
Rize,41.020833,40.521944,"3,922",92772.0,51.5,6.7,48.1
Elazığ,38.674314,39.223206,"8,455",298004.0,53.1,7.8,48.9
Sivas,39.748333,37.016110999999995,"28,549",264022.0,49.7,10.0,44.7
Balıkesir,39.649167,27.886111,"14,299",238151.0,47.2,6.0,44.4
